output_folder min_soil_depth_frac log_ksat log_recession_coef stor_cap degree_day_factor
code__a__353 0.5 0.5 -0.5 0.75 1.5
code__a__354 0.5 0.5 -0.5 1.25 0.5
code__a__355 0.5 0.5 -0.5 1.25 1
code__a__356 0.5 0.5 -0.5 1.25 1.5
code__a__357 0.5 0.5 0 0.75 0.5
code__a__358 0.5 0.5 0 0.75 1
code__a__359 0.5 0.5 0 0.75 1.5
code__a__360 0.5 0.5 0 1.25 0.5
code__a__361 0.5 0.5 0 1.25 1
code__a__362 0.5 0.5 0 1.25 1.5
code__a__363 0.5 0.5 0.5 0.75 0.5
code__a__364 0.5 0.5 0.5 0.75 1
code__a__365 0.5 0.5 0.5 0.75 1.5
code__a__366 0.5 0.5 0.5 1.25 0.5
code__a__367 0.5 0.5 0.5 1.25 1
code__a__368 0.5 0.5 0.5 1.25 1.5
code__a__369 0.5 0.5 1 0.75 0.5
code__a__370 0.5 0.5 1 0.75 1
code__a__371 0.5 0.5 1 0.75 1.5
code__a__372 0.5 0.5 1 1.25 0.5
code__a__373 0.5 0.5 1 1.25 1
code__a__374 0.5 0.5 1 1.25 1.5
code__a__375 1 -0.5 -1 0.75 0.5
code__a__376 1 -0.5 -1 0.75 1
code__a__377 1 -0.5 -1 0.75 1.5
code__a__378 1 -0.5 -1 1.25 0.5
code__a__379 1 -0.5 -1 1.25 1
code__a__380 1 -0.5 -1 1.25 1.5
code__a__381 1 -0.5 -0.5 0.75 0.5
code__a__382 1 -0.5 -0.5 0.75 1
code__a__383 1 -0.5 -0.5 0.75 1.5
code__a__384 1 -0.5 -0.5 1.25 0.5
code__a__385 1 -0.5 -0.5 1.25 1
code__a__386 1 -0.5 -0.5 1.25 1.5
code__a__387 1 -0.5 0 0.75 0.5
code__a__388 1 -0.5 0 0.75 1
code__a__389 1 -0.5 0 0.75 1.5
code__a__390 1 -0.5 0 1.25 0.5
code__a__391 1 -0.5 0 1.25 1
code__a__392 1 -0.5 0 1.25 1.5
code__a__393 1 -0.5 0.5 0.75 0.5
code__a__394 1 -0.5 0.5 0.75 1
code__a__395 1 -0.5 0.5 0.75 1.5
code__a__396 1 -0.5 0.5 1.25 0.5
code__a__397 1 -0.5 0.5 1.25 1
code__a__398 1 -0.5 0.5 1.25 1.5
code__a__399 1 -0.5 1 0.75 0.5
code__a__400 1 -0.5 1 0.75 1
code__a__401 1 -0.5 1 0.75 1.5
code__a__402 1 -0.5 1 1.25 0.5
code__a__403 1 -0.5 1 1.25 1
code__a__404 1 -0.5 1 1.25 1.5
code__a__405 1 -0.25 -1 0.75 0.5
code__a__406 1 -0.25 -1 0.75 1
code__a__407 1 -0.25 -1 0.75 1.5
code__a__408 1 -0.25 -1 1.25 0.5
code__a__409 1 -0.25 -1 1.25 1
code__a__410 1 -0.25 -1 1.25 1.5
code__a__411 1 -0.25 -0.5 0.75 0.5
code__a__412 1 -0.25 -0.5 0.75 1
code__a__413 1 -0.25 -0.5 0.75 1.5
code__a__414 1 -0.25 -0.5 1.25 0.5
code__a__415 1 -0.25 -0.5 1.25 1
code__a__416 1 -0.25 -0.5 1.25 1.5
code__a__417 1 -0.25 0 0.75 0.5
code__a__418 1 -0.25 0 0.75 1
code__a__419 1 -0.25 0 0.75 1.5
code__a__420 1 -0.25 0 1.25 0.5
code__a__421 1 -0.25 0 1.25 1
code__a__422 1 -0.25 0 1.25 1.5
code__a__423 1 -0.25 0.5 0.75 0.5
code__a__424 1 -0.25 0.5 0.75 1
code__a__425 1 -0.25 0.5 0.75 1.5
code__a__426 1 -0.25 0.5 1.25 0.5
code__a__427 1 -0.25 0.5 1.25 1
code__a__428 1 -0.25 0.5 1.25 1.5
code__a__429 1 -0.25 1 0.75 0.5
code__a__430 1 -0.25 1 0.75 1
code__a__431 1 -0.25 1 0.75 1.5
code__a__432 1 -0.25 1 1.25 0.5
code__a__433 1 -0.25 1 1.25 1
code__a__434 1 -0.25 1 1.25 1.5
code__a__435 1 0 -1 0.75 0.5
code__a__436 1 0 -1 0.75 1
code__a__437 1 0 -1 0.75 1.5
code__a__438 1 0 -1 1.25 0.5
code__a__439 1 0 -1 1.25 1
code__a__440 1 0 -1 1.25 1.5
code__a__441 1 0 -0.5 0.75 0.5
code__a__442 1 0 -0.5 0.75 1
code__a__443 1 0 -0.5 0.75 1.5
code__a__444 1 0 -0.5 1.25 0.5
code__a__445 1 0 -0.5 1.25 1
code__a__446 1 0 -0.5 1.25 1.5
code__a__447 1 0 0 0.75 0.5
code__a__448 1 0 0 0.75 1
code__a__449 1 0 0 0.75 1.5
code__a__450 1 0 0 1.25 0.5
code__a__451 1 0 0 1.25 1
code__a__452 1 0 0 1.25 1.5
code__a__453 1 0 0.5 0.75 0.5
code__a__454 1 0 0.5 0.75 1
code__a__455 1 0 0.5 0.75 1.5
code__a__456 1 0 0.5 1.25 0.5
code__a__457 1 0 0.5 1.25 1
code__a__458 1 0 0.5 1.25 1.5
code__a__459 1 0 1 0.75 0.5
code__a__460 1 0 1 0.75 1
code__a__461 1 0 1 0.75 1.5
code__a__462 1 0 1 1.25 0.5
code__a__463 1 0 1 1.25 1
code__a__464 1 0 1 1.25 1.5
code__a__465 1 0.25 -1 0.75 0.5
code__a__466 1 0.25 -1 0.75 1
code__a__467 1 0.25 -1 0.75 1.5
code__a__468 1 0.25 -1 1.25 0.5
code__a__469 1 0.25 -1 1.25 1
code__a__470 1 0.25 -1 1.25 1.5
code__a__471 1 0.25 -0.5 0.75 0.5
code__a__472 1 0.25 -0.5 0.75 1
code__a__473 1 0.25 -0.5 0.75 1.5
code__a__474 1 0.25 -0.5 1.25 0.5
code__a__475 1 0.25 -0.5 1.25 1
code__a__476 1 0.25 -0.5 1.25 1.5
code__a__477 1 0.25 0 0.75 0.5
code__a__478 1 0.25 0 0.75 1
code__a__479 1 0.25 0 0.75 1.5
code__a__480 1 0.25 0 1.25 0.5
code__a__481 1 0.25 0 1.25 1
code__a__482 1 0.25 0 1.25 1.5
code__a__483 1 0.25 0.5 0.75 0.5
code__a__484 1 0.25 0.5 0.75 1
code__a__485 1 0.25 0.5 0.75 1.5
code__a__486 1 0.25 0.5 1.25 0.5
code__a__487 1 0.25 0.5 1.25 1
code__a__488 1 0.25 0.5 1.25 1.5
code__a__489 1 0.25 1 0.75 0.5
code__a__490 1 0.25 1 0.75 1
code__a__491 1 0.25 1 0.75 1.5
code__a__492 1 0.25 1 1.25 0.5
code__a__493 1 0.25 1 1.25 1
code__a__494 1 0.25 1 1.25 1.5
code__a__495 1 0.5 -1 0.75 0.5
code__a__496 1 0.5 -1 0.75 1
code__a__497 1 0.5 -1 0.75 1.5
code__a__498 1 0.5 -1 1.25 0.5
code__a__499 1 0.5 -1 1.25 1
code__a__500 1 0.5 -1 1.25 1.5
code__a__501 1 0.5 -0.5 0.75 0.5
code__a__502 1 0.5 -0.5 0.75 1
code__a__503 1 0.5 -0.5 0.75 1.5
code__a__504 1 0.5 -0.5 1.25 0.5
code__a__505 1 0.5 -0.5 1.25 1
code__a__506 1 0.5 -0.5 1.25 1.5
code__a__507 1 0.5 0 0.75 0.5
code__a__508 1 0.5 0 0.75 1
code__a__509 1 0.5 0 0.75 1.5
code__a__510 1 0.5 0 1.25 0.5
code__a__511 1 0.5 0 1.25 1
code__a__512 1 0.5 0 1.25 1.5
code__a__513 1 0.5 0.5 0.75 0.5
code__a__514 1 0.5 0.5 0.75 1
code__a__515 1 0.5 0.5 0.75 1.5
code__a__516 1 0.5 0.5 1.25 0.5
code__a__517 1 0.5 0.5 1.25 1
code__a__518 1 0.5 0.5 1.25 1.5
