output_folder min_soil_depth_frac log_ksat log_recession_coef stor_cap
code__a__825 0.5 -0.25 -1 1.375
code__a__826 0.5 -0.25 -0.5 1.375
code__a__827 0.5 -0.25 0 1.375
code__a__828 0.5 -0.25 0.5 1.375
code__a__829 0.5 -0.25 1 1.375
code__a__830 0.5 0 -1 1.375
code__a__831 0.5 0 -0.5 1.375
code__a__832 0.5 0 0 1.375
code__a__833 0.5 0 0.5 1.375
code__a__834 0.5 0 1 1.375
code__a__835 0.5 0.25 -1 1.375
code__a__836 0.5 0.25 -0.5 1.375
code__a__837 0.5 0.25 0 1.375
code__a__838 0.5 0.25 0.5 1.375
code__a__839 0.5 0.25 1 1.375
code__a__840 0.5 0.5 -1 1.375
code__a__841 0.5 0.5 -0.5 1.375
code__a__842 0.5 0.5 0 1.375
code__a__843 0.5 0.5 0.5 1.375
code__a__844 0.5 0.5 1 1.375
code__a__845 0.5 0.75 -1 1.375
code__a__846 0.5 0.75 -0.5 1.375
code__a__847 0.5 0.75 0 1.375
code__a__848 0.5 0.75 0.5 1.375
code__a__849 0.5 0.75 1 1.375
code__a__850 0.5 1 -1 1.375
code__a__851 0.5 1 -0.5 1.375
code__a__852 0.5 1 0 1.375
code__a__853 0.5 1 0.5 1.375
code__a__854 0.5 1 1 1.375
code__a__855 1 -1 -1 0.625
code__a__856 1 -1 -0.5 0.625
code__a__857 1 -1 0 0.625
code__a__858 1 -1 0.5 0.625
code__a__859 1 -1 1 0.625
code__a__860 1 -0.75 -1 0.625
code__a__861 1 -0.75 -0.5 0.625
code__a__862 1 -0.75 0 0.625
code__a__863 1 -0.75 0.5 0.625
code__a__864 1 -0.75 1 0.625
code__a__865 1 -0.5 -1 0.625
code__a__866 1 -0.5 -0.5 0.625
code__a__867 1 -0.5 0 0.625
code__a__868 1 -0.5 0.5 0.625
code__a__869 1 -0.5 1 0.625
code__a__870 1 -0.25 -1 0.625
code__a__871 1 -0.25 -0.5 0.625
code__a__872 1 -0.25 0 0.625
