output_folder min_soil_depth_frac log_ksat log_recession_coef stor_cap
code__a__405 0.5 -1 -1 0.75
code__a__406 0.5 -1 -0.5 0.75
code__a__407 0.5 -1 0 0.75
code__a__408 0.5 -1 0.5 0.75
code__a__409 0.5 -1 1 0.75
code__a__410 0.5 -0.75 -1 0.75
code__a__411 0.5 -0.75 -0.5 0.75
code__a__412 0.5 -0.75 0 0.75
code__a__413 0.5 -0.75 0.5 0.75
code__a__414 0.5 -0.75 1 0.75
code__a__415 0.5 -0.5 -1 0.75
code__a__416 0.5 -0.5 -0.5 0.75
code__a__417 0.5 -0.5 0 0.75
code__a__418 0.5 -0.5 0.5 0.75
code__a__419 0.5 -0.5 1 0.75
code__a__420 0.5 -0.25 -1 0.75
code__a__421 0.5 -0.25 -0.5 0.75
code__a__422 0.5 -0.25 0 0.75
code__a__423 0.5 -0.25 0.5 0.75
code__a__424 0.5 -0.25 1 0.75
code__a__425 0.5 0 -1 0.75
code__a__426 0.5 0 -0.5 0.75
code__a__427 0.5 0 0 0.75
code__a__428 0.5 0 0.5 0.75
code__a__429 0.5 0 1 0.75
code__a__430 0.5 0.25 -1 0.75
code__a__431 0.5 0.25 -0.5 0.75
code__a__432 0.5 0.25 0 0.75
code__a__433 0.5 0.25 0.5 0.75
code__a__434 0.5 0.25 1 0.75
code__a__435 0.5 0.5 -1 0.75
code__a__436 0.5 0.5 -0.5 0.75
code__a__437 0.5 0.5 0 0.75
code__a__438 0.5 0.5 0.5 0.75
code__a__439 0.5 0.5 1 0.75
code__a__440 0.5 0.75 -1 0.75
code__a__441 0.5 0.75 -0.5 0.75
code__a__442 0.5 0.75 0 0.75
code__a__443 0.5 0.75 0.5 0.75
code__a__444 0.5 0.75 1 0.75
code__a__445 0.5 1 -1 0.75
code__a__446 0.5 1 -0.5 0.75
code__a__447 0.5 1 0 0.75
code__a__448 0.5 1 0.5 0.75
code__a__449 0.5 1 1 0.75
code__a__450 0.5 -1 -1 1.25
code__a__451 0.5 -1 -0.5 1.25
code__a__452 0.5 -1 0 1.25
code__a__453 0.5 -1 0.5 1.25
code__a__454 0.5 -1 1 1.25
code__a__455 0.5 -0.75 -1 1.25
code__a__456 0.5 -0.75 -0.5 1.25
code__a__457 0.5 -0.75 0 1.25
code__a__458 0.5 -0.75 0.5 1.25
code__a__459 0.5 -0.75 1 1.25
code__a__460 0.5 -0.5 -1 1.25
code__a__461 0.5 -0.5 -0.5 1.25
code__a__462 0.5 -0.5 0 1.25
code__a__463 0.5 -0.5 0.5 1.25
code__a__464 0.5 -0.5 1 1.25
code__a__465 0.5 -0.25 -1 1.25
code__a__466 0.5 -0.25 -0.5 1.25
code__a__467 0.5 -0.25 0 1.25
code__a__468 0.5 -0.25 0.5 1.25
code__a__469 0.5 -0.25 1 1.25
code__a__470 0.5 0 -1 1.25
code__a__471 0.5 0 -0.5 1.25
code__a__472 0.5 0 0 1.25
code__a__473 0.5 0 0.5 1.25
code__a__474 0.5 0 1 1.25
code__a__475 0.5 0.25 -1 1.25
code__a__476 0.5 0.25 -0.5 1.25
code__a__477 0.5 0.25 0 1.25
code__a__478 0.5 0.25 0.5 1.25
code__a__479 0.5 0.25 1 1.25
code__a__480 0.5 0.5 -1 1.25
code__a__481 0.5 0.5 -0.5 1.25
code__a__482 0.5 0.5 0 1.25
code__a__483 0.5 0.5 0.5 1.25
code__a__484 0.5 0.5 1 1.25
code__a__485 0.5 0.75 -1 1.25
code__a__486 0.5 0.75 -0.5 1.25
code__a__487 0.5 0.75 0 1.25
code__a__488 0.5 0.75 0.5 1.25
code__a__489 0.5 0.75 1 1.25
code__a__490 0.5 1 -1 1.25
code__a__491 0.5 1 -0.5 1.25
code__a__492 0.5 1 0 1.25
code__a__493 0.5 1 0.5 1.25
code__a__494 0.5 1 1 1.25
code__a__495 1 -1 -1 0.75
code__a__496 1 -1 -0.5 0.75
code__a__497 1 -1 0 0.75
code__a__498 1 -1 0.5 0.75
code__a__499 1 -1 1 0.75
code__a__500 1 -0.75 -1 0.75
code__a__501 1 -0.75 -0.5 0.75
code__a__502 1 -0.75 0 0.75
code__a__503 1 -0.75 0.5 0.75
code__a__504 1 -0.75 1 0.75
code__a__505 1 -0.5 -1 0.75
code__a__506 1 -0.5 -0.5 0.75
code__a__507 1 -0.5 0 0.75
code__a__508 1 -0.5 0.5 0.75
code__a__509 1 -0.5 1 0.75
code__a__510 1 -0.25 -1 0.75
code__a__511 1 -0.25 -0.5 0.75
code__a__512 1 -0.25 0 0.75
code__a__513 1 -0.25 0.5 0.75
code__a__514 1 -0.25 1 0.75
code__a__515 1 0 -1 0.75
code__a__516 1 0 -0.5 0.75
code__a__517 1 0 0 0.75
code__a__518 1 0 0.5 0.75
code__a__519 1 0 1 0.75
code__a__520 1 0.25 -1 0.75
code__a__521 1 0.25 -0.5 0.75
code__a__522 1 0.25 0 0.75
code__a__523 1 0.25 0.5 0.75
code__a__524 1 0.25 1 0.75
code__a__525 1 0.5 -1 0.75
code__a__526 1 0.5 -0.5 0.75
code__a__527 1 0.5 0 0.75
code__a__528 1 0.5 0.5 0.75
code__a__529 1 0.5 1 0.75
code__a__530 1 0.75 -1 0.75
code__a__531 1 0.75 -0.5 0.75
code__a__532 1 0.75 0 0.75
code__a__533 1 0.75 0.5 0.75
code__a__534 1 0.75 1 0.75
code__a__535 1 1 -1 0.75
code__a__536 1 1 -0.5 0.75
code__a__537 1 1 0 0.75
code__a__538 1 1 0.5 0.75
code__a__539 1 1 1 0.75
code__a__540 1 -1 -1 1.25
code__a__541 1 -1 -0.5 1.25
code__a__542 1 -1 0 1.25
code__a__543 1 -1 0.5 1.25
code__a__544 1 -1 1 1.25
code__a__545 1 -0.75 -1 1.25
code__a__546 1 -0.75 -0.5 1.25
code__a__547 1 -0.75 0 1.25
code__a__548 1 -0.75 0.5 1.25
code__a__549 1 -0.75 1 1.25
code__a__550 1 -0.5 -1 1.25
code__a__551 1 -0.5 -0.5 1.25
code__a__552 1 -0.5 0 1.25
code__a__553 1 -0.5 0.5 1.25
code__a__554 1 -0.5 1 1.25
code__a__555 1 -0.25 -1 1.25
code__a__556 1 -0.25 -0.5 1.25
code__a__557 1 -0.25 0 1.25
code__a__558 1 -0.25 0.5 1.25
code__a__559 1 -0.25 1 1.25
code__a__560 1 0 -1 1.25
code__a__561 1 0 -0.5 1.25
code__a__562 1 0 0 1.25
code__a__563 1 0 0.5 1.25
code__a__564 1 0 1 1.25
code__a__565 1 0.25 -1 1.25
code__a__566 1 0.25 -0.5 1.25
code__a__567 1 0.25 0 1.25
code__a__568 1 0.25 0.5 1.25
code__a__569 1 0.25 1 1.25
code__a__570 1 0.5 -1 1.25
code__a__571 1 0.5 -0.5 1.25
code__a__572 1 0.5 0 1.25
code__a__573 1 0.5 0.5 1.25
code__a__574 1 0.5 1 1.25
code__a__575 1 0.75 -1 1.25
code__a__576 1 0.75 -0.5 1.25
code__a__577 1 0.75 0 1.25
code__a__578 1 0.75 0.5 1.25
code__a__579 1 0.75 1 1.25
code__a__580 1 1 -1 1.25
code__a__581 1 1 -0.5 1.25
code__a__582 1 1 0 1.25
code__a__583 1 1 0.5 1.25
code__a__584 1 1 1 1.25
code__a__585 1.5 -1 -1 0.75
code__a__586 1.5 -1 -0.5 0.75
code__a__587 1.5 -1 0 0.75
code__a__588 1.5 -1 0.5 0.75
code__a__589 1.5 -1 1 0.75
code__a__590 1.5 -0.75 -1 0.75
code__a__591 1.5 -0.75 -0.5 0.75
code__a__592 1.5 -0.75 0 0.75
code__a__593 1.5 -0.75 0.5 0.75
code__a__594 1.5 -0.75 1 0.75
code__a__595 1.5 -0.5 -1 0.75
code__a__596 1.5 -0.5 -0.5 0.75
code__a__597 1.5 -0.5 0 0.75
code__a__598 1.5 -0.5 0.5 0.75
code__a__599 1.5 -0.5 1 0.75
code__a__600 1.5 -0.25 -1 0.75
code__a__601 1.5 -0.25 -0.5 0.75
