output_folder min_soil_depth_frac log_ksat log_recession_coef stor_cap
code__a__9 0.5 -1 -1 0.5
code__a__10 0.5 -1 0 0.5
code__a__11 0.5 -1 1 0.5
code__a__12 0.5 0 -1 0.5
code__a__13 0.5 0 0 0.5
code__a__14 0.5 0 1 0.5
code__a__15 0.5 1 -1 0.5
code__a__16 0.5 1 0 0.5
code__a__17 0.5 1 1 0.5
code__a__18 0.5 -1 0 1
code__a__19 0.5 0 -1 1
code__a__20 0.5 0 0 1
code__a__21 0.5 0 1 1
code__a__22 0.5 1 0 1
code__a__23 0.5 -1 -1 1.5
code__a__24 0.5 -1 0 1.5
code__a__25 0.5 -1 1 1.5
code__a__26 0.5 0 -1 1.5
code__a__27 0.5 0 0 1.5
code__a__28 0.5 0 1 1.5
code__a__29 0.5 1 -1 1.5
code__a__30 0.5 1 0 1.5
code__a__31 0.5 1 1 1.5
code__a__32 1 -1 -1 0.5
code__a__33 1 -1 0 0.5
code__a__34 1 -1 1 0.5
code__a__35 1 0 -1 0.5
code__a__36 1 0 0 0.5
code__a__37 1 0 1 0.5
code__a__38 1 1 -1 0.5
code__a__39 1 1 0 0.5
code__a__40 1 1 1 0.5
code__a__41 1 -1 -1 1
code__a__42 1 -1 0 1
code__a__43 1 -1 1 1
code__a__44 1 0 -1 1
code__a__45 1 0 1 1
code__a__46 1 1 -1 1
code__a__47 1 1 0 1
code__a__48 1 1 1 1
code__a__49 1 -1 -1 1.5
code__a__50 1 -1 0 1.5
code__a__51 1 -1 1 1.5
code__a__52 1 0 -1 1.5
code__a__53 1 0 0 1.5
code__a__54 1 0 1 1.5
code__a__55 1 1 -1 1.5
code__a__56 1 1 0 1.5
code__a__57 1 1 1 1.5
code__a__58 1.5 -1 -1 0.5
code__a__59 1.5 -1 0 0.5
code__a__60 1.5 -1 1 0.5
code__a__61 1.5 0 -1 0.5
code__a__62 1.5 0 0 0.5
code__a__63 1.5 0 1 0.5
code__a__64 1.5 1 -1 0.5
code__a__65 1.5 1 0 0.5
code__a__66 1.5 1 1 0.5
code__a__67 1.5 -1 0 1
code__a__68 1.5 0 -1 1
code__a__69 1.5 0 0 1
code__a__70 1.5 0 1 1
code__a__71 1.5 1 0 1
code__a__72 1.5 -1 -1 1.5
code__a__73 1.5 -1 0 1.5
code__a__74 1.5 -1 1 1.5
code__a__75 1.5 0 -1 1.5
code__a__76 1.5 0 0 1.5
code__a__77 1.5 0 1 1.5
code__a__78 1.5 1 -1 1.5
code__a__79 1.5 1 0 1.5
code__a__80 1.5 1 1 1.5
