output_folder min_soil_depth_frac log_ksat log_recession_coef stor_cap
code__a__369 1.5 -0.75 1 1
code__a__370 1.5 -0.25 -1 1
code__a__371 1.5 -0.25 -0.5 1
code__a__372 1.5 -0.25 0 1
code__a__373 1.5 -0.25 0.5 1
code__a__374 1.5 -0.25 1 1
code__a__375 1.5 0.25 -1 1
code__a__376 1.5 0.25 -0.5 1
code__a__377 1.5 0.25 0 1
code__a__378 1.5 0.25 0.5 1
code__a__379 1.5 0.25 1 1
code__a__380 1.5 0.75 -1 1
code__a__381 1.5 0.75 -0.5 1
code__a__382 1.5 0.75 0 1
code__a__383 1.5 0.75 0.5 1
code__a__384 1.5 0.75 1 1
code__a__385 1.5 -0.75 -1 1.5
code__a__386 1.5 -0.75 -0.5 1.5
code__a__387 1.5 -0.75 0 1.5
code__a__388 1.5 -0.75 0.5 1.5
code__a__389 1.5 -0.75 1 1.5
code__a__390 1.5 -0.25 -1 1.5
code__a__391 1.5 -0.25 -0.5 1.5
code__a__392 1.5 -0.25 0 1.5
code__a__393 1.5 -0.25 0.5 1.5
code__a__394 1.5 -0.25 1 1.5
code__a__395 1.5 0.25 -1 1.5
code__a__396 1.5 0.25 -0.5 1.5
code__a__397 1.5 0.25 0 1.5
code__a__398 1.5 0.25 0.5 1.5
code__a__399 1.5 0.25 1 1.5
code__a__400 1.5 0.75 -1 1.5
code__a__401 1.5 0.75 -0.5 1.5
code__a__402 1.5 0.75 0 1.5
code__a__403 1.5 0.75 0.5 1.5
code__a__404 1.5 0.75 1 1.5
