output_folder min_soil_depth_frac log_ksat log_recession_coef stor_cap
code__a__225 0.5 -0.75 -1 0.5
code__a__226 0.5 -0.75 -0.5 0.5
code__a__227 0.5 -0.75 0 0.5
code__a__228 0.5 -0.75 0.5 0.5
code__a__229 0.5 -0.75 1 0.5
code__a__230 0.5 -0.25 -1 0.5
code__a__231 0.5 -0.25 -0.5 0.5
code__a__232 0.5 -0.25 0 0.5
code__a__233 0.5 -0.25 0.5 0.5
code__a__234 0.5 -0.25 1 0.5
code__a__235 0.5 0.25 -1 0.5
code__a__236 0.5 0.25 -0.5 0.5
code__a__237 0.5 0.25 0 0.5
code__a__238 0.5 0.25 0.5 0.5
code__a__239 0.5 0.25 1 0.5
code__a__240 0.5 0.75 -1 0.5
code__a__241 0.5 0.75 -0.5 0.5
code__a__242 0.5 0.75 0 0.5
code__a__243 0.5 0.75 0.5 0.5
code__a__244 0.5 0.75 1 0.5
code__a__245 0.5 -0.75 -1 1
code__a__246 0.5 -0.75 -0.5 1
code__a__247 0.5 -0.75 0 1
code__a__248 0.5 -0.75 0.5 1
code__a__249 0.5 -0.75 1 1
code__a__250 0.5 -0.25 -1 1
code__a__251 0.5 -0.25 -0.5 1
code__a__252 0.5 -0.25 0 1
code__a__253 0.5 -0.25 0.5 1
code__a__254 0.5 -0.25 1 1
code__a__255 0.5 0.25 -1 1
code__a__256 0.5 0.25 -0.5 1
code__a__257 0.5 0.25 0 1
code__a__258 0.5 0.25 0.5 1
code__a__259 0.5 0.25 1 1
code__a__260 0.5 0.75 -1 1
code__a__261 0.5 0.75 -0.5 1
code__a__262 0.5 0.75 0 1
code__a__263 0.5 0.75 0.5 1
code__a__264 0.5 0.75 1 1
code__a__265 0.5 -0.75 -1 1.5
code__a__266 0.5 -0.75 -0.5 1.5
code__a__267 0.5 -0.75 0 1.5
code__a__268 0.5 -0.75 0.5 1.5
code__a__269 0.5 -0.75 1 1.5
code__a__270 0.5 -0.25 -1 1.5
code__a__271 0.5 -0.25 -0.5 1.5
code__a__272 0.5 -0.25 0 1.5
code__a__273 0.5 -0.25 0.5 1.5
code__a__274 0.5 -0.25 1 1.5
code__a__275 0.5 0.25 -1 1.5
code__a__276 0.5 0.25 -0.5 1.5
code__a__277 0.5 0.25 0 1.5
code__a__278 0.5 0.25 0.5 1.5
code__a__279 0.5 0.25 1 1.5
code__a__280 0.5 0.75 -1 1.5
code__a__281 0.5 0.75 -0.5 1.5
code__a__282 0.5 0.75 0 1.5
code__a__283 0.5 0.75 0.5 1.5
code__a__284 0.5 0.75 1 1.5
code__a__285 1 -0.75 -1 0.5
code__a__286 1 -0.75 -0.5 0.5
code__a__287 1 -0.75 0 0.5
code__a__288 1 -0.75 0.5 0.5
code__a__289 1 -0.75 1 0.5
code__a__290 1 -0.25 -1 0.5
code__a__291 1 -0.25 -0.5 0.5
code__a__292 1 -0.25 0 0.5
code__a__293 1 -0.25 0.5 0.5
code__a__294 1 -0.25 1 0.5
code__a__295 1 0.25 -1 0.5
code__a__296 1 0.25 -0.5 0.5
code__a__297 1 0.25 0 0.5
code__a__298 1 0.25 0.5 0.5
code__a__299 1 0.25 1 0.5
code__a__300 1 0.75 -1 0.5
code__a__301 1 0.75 -0.5 0.5
code__a__302 1 0.75 0 0.5
code__a__303 1 0.75 0.5 0.5
code__a__304 1 0.75 1 0.5
code__a__305 1 -0.75 -1 1
code__a__306 1 -0.75 -0.5 1
code__a__307 1 -0.75 0 1
code__a__308 1 -0.75 0.5 1
code__a__309 1 -0.75 1 1
code__a__310 1 -0.25 -1 1
code__a__311 1 -0.25 -0.5 1
code__a__312 1 -0.25 0 1
code__a__313 1 -0.25 0.5 1
code__a__314 1 -0.25 1 1
code__a__315 1 0.25 -1 1
code__a__316 1 0.25 -0.5 1
code__a__317 1 0.25 0 1
code__a__318 1 0.25 0.5 1
code__a__319 1 0.25 1 1
code__a__320 1 0.75 -1 1
code__a__321 1 0.75 -0.5 1
code__a__322 1 0.75 0 1
code__a__323 1 0.75 0.5 1
code__a__324 1 0.75 1 1
code__a__325 1 -0.75 -1 1.5
code__a__326 1 -0.75 -0.5 1.5
code__a__327 1 -0.75 0 1.5
code__a__328 1 -0.75 0.5 1.5
code__a__329 1 -0.75 1 1.5
code__a__330 1 -0.25 -1 1.5
code__a__331 1 -0.25 -0.5 1.5
code__a__332 1 -0.25 0 1.5
code__a__333 1 -0.25 0.5 1.5
code__a__334 1 -0.25 1 1.5
code__a__335 1 0.25 -1 1.5
code__a__336 1 0.25 -0.5 1.5
code__a__337 1 0.25 0 1.5
code__a__338 1 0.25 0.5 1.5
code__a__339 1 0.25 1 1.5
code__a__340 1 0.75 -1 1.5
code__a__341 1 0.75 -0.5 1.5
code__a__342 1 0.75 0 1.5
code__a__343 1 0.75 0.5 1.5
code__a__344 1 0.75 1 1.5
code__a__345 1.5 -0.75 -1 0.5
code__a__346 1.5 -0.75 -0.5 0.5
code__a__347 1.5 -0.75 0 0.5
code__a__348 1.5 -0.75 0.5 0.5
code__a__349 1.5 -0.75 1 0.5
code__a__350 1.5 -0.25 -1 0.5
code__a__351 1.5 -0.25 -0.5 0.5
code__a__352 1.5 -0.25 0 0.5
code__a__353 1.5 -0.25 0.5 0.5
code__a__354 1.5 -0.25 1 0.5
code__a__355 1.5 0.25 -1 0.5
code__a__356 1.5 0.25 -0.5 0.5
code__a__357 1.5 0.25 0 0.5
code__a__358 1.5 0.25 0.5 0.5
code__a__359 1.5 0.25 1 0.5
code__a__360 1.5 0.75 -1 0.5
code__a__361 1.5 0.75 -0.5 0.5
code__a__362 1.5 0.75 0 0.5
code__a__363 1.5 0.75 0.5 0.5
code__a__364 1.5 0.75 1 0.5
code__a__365 1.5 -0.75 -1 1
code__a__366 1.5 -0.75 -0.5 1
code__a__367 1.5 -0.75 0 1
code__a__368 1.5 -0.75 0.5 1
