output_folder min_soil_depth_frac log_ksat log_recession_coef stor_cap
code__a__135 0.5 -1 -0.5 0.5
code__a__136 0.5 -1 0.5 0.5
code__a__137 0.5 -0.5 -0.5 0.5
code__a__138 0.5 -0.5 0.5 0.5
code__a__139 0.5 0 -0.5 0.5
code__a__140 0.5 0 0.5 0.5
code__a__141 0.5 0.5 -0.5 0.5
code__a__142 0.5 0.5 0.5 0.5
code__a__143 0.5 1 -0.5 0.5
code__a__144 0.5 1 0.5 0.5
code__a__145 0.5 -1 -0.5 1
code__a__146 0.5 -1 0.5 1
code__a__147 0.5 -0.5 -0.5 1
code__a__148 0.5 -0.5 0.5 1
code__a__149 0.5 0 -0.5 1
code__a__150 0.5 0 0.5 1
code__a__151 0.5 0.5 -0.5 1
code__a__152 0.5 0.5 0.5 1
code__a__153 0.5 1 -0.5 1
code__a__154 0.5 1 0.5 1
code__a__155 0.5 -1 -0.5 1.5
code__a__156 0.5 -1 0.5 1.5
code__a__157 0.5 -0.5 -0.5 1.5
code__a__158 0.5 -0.5 0.5 1.5
code__a__159 0.5 0 -0.5 1.5
code__a__160 0.5 0 0.5 1.5
code__a__161 0.5 0.5 -0.5 1.5
code__a__162 0.5 0.5 0.5 1.5
code__a__163 0.5 1 -0.5 1.5
code__a__164 0.5 1 0.5 1.5
code__a__165 1 -1 -0.5 0.5
code__a__166 1 -1 0.5 0.5
code__a__167 1 -0.5 -0.5 0.5
code__a__168 1 -0.5 0.5 0.5
code__a__169 1 0 -0.5 0.5
code__a__170 1 0 0.5 0.5
code__a__171 1 0.5 -0.5 0.5
code__a__172 1 0.5 0.5 0.5
code__a__173 1 1 -0.5 0.5
code__a__174 1 1 0.5 0.5
code__a__175 1 -1 -0.5 1
code__a__176 1 -1 0.5 1
code__a__177 1 -0.5 -0.5 1
code__a__178 1 -0.5 0.5 1
code__a__179 1 0 -0.5 1
code__a__180 1 0 0.5 1
code__a__181 1 0.5 -0.5 1
code__a__182 1 0.5 0.5 1
code__a__183 1 1 -0.5 1
code__a__184 1 1 0.5 1
code__a__185 1 -1 -0.5 1.5
code__a__186 1 -1 0.5 1.5
code__a__187 1 -0.5 -0.5 1.5
code__a__188 1 -0.5 0.5 1.5
code__a__189 1 0 -0.5 1.5
code__a__190 1 0 0.5 1.5
code__a__191 1 0.5 -0.5 1.5
code__a__192 1 0.5 0.5 1.5
code__a__193 1 1 -0.5 1.5
code__a__194 1 1 0.5 1.5
code__a__195 1.5 -1 -0.5 0.5
code__a__196 1.5 -1 0.5 0.5
code__a__197 1.5 -0.5 -0.5 0.5
code__a__198 1.5 -0.5 0.5 0.5
code__a__199 1.5 0 -0.5 0.5
code__a__200 1.5 0 0.5 0.5
code__a__201 1.5 0.5 -0.5 0.5
code__a__202 1.5 0.5 0.5 0.5
code__a__203 1.5 1 -0.5 0.5
code__a__204 1.5 1 0.5 0.5
code__a__205 1.5 -1 -0.5 1
code__a__206 1.5 -1 0.5 1
code__a__207 1.5 -0.5 -0.5 1
code__a__208 1.5 -0.5 0.5 1
code__a__209 1.5 0 -0.5 1
code__a__210 1.5 0 0.5 1
code__a__211 1.5 0.5 -0.5 1
code__a__212 1.5 0.5 0.5 1
code__a__213 1.5 1 -0.5 1
code__a__214 1.5 1 0.5 1
code__a__215 1.5 -1 -0.5 1.5
code__a__216 1.5 -1 0.5 1.5
code__a__217 1.5 -0.5 -0.5 1.5
code__a__218 1.5 -0.5 0.5 1.5
code__a__219 1.5 0 -0.5 1.5
code__a__220 1.5 0 0.5 1.5
code__a__221 1.5 0.5 -0.5 1.5
code__a__222 1.5 0.5 0.5 1.5
code__a__223 1.5 1 -0.5 1.5
code__a__224 1.5 1 0.5 1.5
